,node,eigenvector
0,8265731,0.007418766238029522
1,77561863,0.019447738835115726
2,248012808,3.128588854714366e-20
3,177520651,0.00026124873826666737
4,166297612,0.035766384568431356
5,13721613,0.0085163657829593
6,28917776,4.91310274807688e-06
7,4104209,0.006271905108137795
8,819228,0.004401063046890279
9,153305119,3.128588854714366e-20
10,8172838,3.7816519969865834e-06
11,1679396,3.128588854714366e-20
12,225075312,0.010110393788837492
13,358146090,1.2814699948910044e-16
14,377856044,0.0010766238736700062
15,88956978,3.128588854714366e-20
16,416579635,6.52163668238265e-05
17,15753269,0.015264621566704589
18,215900217,0.006397183518205366
19,15081530,3.128588854714366e-20
20,277749821,3.128588854714366e-20
21,263782465,0.008309693054533872
22,61489220,0.09412963139209769
23,84394054,0.03313026083517624
24,17621065,0.007913386072453323
25,6758474,3.128588854714366e-20
26,230932555,0.007841068735314647
27,1605717,3.128588854714366e-20
28,3047513,1.4804795319393856e-15
29,8912990,3.128588854714366e-20
30,457670757,3.128588854714366e-20
31,231727206,3.128588854714366e-20
32,288743528,3.128588854714366e-20
33,147561,0.00018691851068282963
34,329662573,0.001152426980100202
35,144212080,0.005867876674428466
36,76882035,3.128588854714366e-20
37,124944506,3.128588854714366e-20
38,2621569,0.0001568584936554656
39,99123331,3.128588854714366e-20
40,77422724,0.020059143265020583
41,143040646,0.0029946916045552117
42,253485196,3.128588854714366e-20
43,5824658,0.0005925408502443836
44,216055957,3.128588854714366e-20
45,13451415,3.128588854714366e-20
46,372349636,3.128588854714366e-20
47,13885595,0.013253784566764844
48,133857437,3.128588854714366e-20
49,183869604,0.0019069970231807
50,251947718,1.2814699948910044e-16
51,13074599,3.128588854714366e-20
52,282905287,3.128588854714366e-20
53,253853869,3.128588854714366e-20
54,112091312,0.001438198458146364
55,70820019,3.718889113515809e-06
56,148095162,3.128588854714366e-20
57,64667837,0.029631158831091044
58,100106430,0.011093164404855822
59,457270646,3.128588854714366e-20
60,9494730,0.007347508034502653
61,9404626,0.01460857824612537
62,213680339,3.128588854714366e-20
63,152461524,3.128588854714366e-20
64,622806,0.0017946925758918985
65,80610681,3.128588854714366e-20
66,17907748,0.00020952889739913407
67,151601373,0.05293051781210165
68,96878819,0.030162333445261317
69,102310119,3.128588854714366e-20
70,21889259,3.128588854714366e-20
71,96076012,9.66067361738516e-05
72,46719215,0.0035097902931015205
73,118497523,3.128588854714366e-20
74,60178678,0.08649953514574092
75,243949819,3.128588854714366e-20
76,934141,0.03527173941295595
77,1163518,0.003681592569503256
78,10592513,0.00011582068043033149
79,378519819,3.128588854714366e-20
80,235512078,0.0024944464188846774
81,5759249,3.128588854714366e-20
82,135237678,3.128588854714366e-20
83,17301783,0.002576383939812168
84,133882136,3.128588854714366e-20
85,170713369,0.0035070449837961075
86,303816987,3.128588854714366e-20
87,307181767,3.128588854714366e-20
88,3224965,0.010363251557067056
89,235520288,0.003395563058832621
90,1138980,0.08810886361261447
91,6308134,0.06458371175721388
92,177819697,3.128588854714366e-20
93,184484136,3.128588854714366e-20
94,680234,3.128588854714366e-20
95,290788585,3.128588854714366e-20
96,358375726,0.007695834026161674
97,283331293,3.128588854714366e-20
98,310108466,3.128588854714366e-20
99,1032502,0.0015380655463492297
100,154247479,3.128588854714366e-20
101,220381503,0.023876013865210894
102,454506969,0.0002035559994229859
103,146858308,3.128588854714366e-20
104,29860165,0.01159780699032737
105,6111560,0.03250478235896243
106,70369613,0.0175259817601262
107,256981329,3.128588854714366e-20
108,2777424,0.00046382541428929234
109,2900305,3.128588854714366e-20
110,901466,0.0056865446599617155
111,302793054,0.07280703641677569
112,261528293,0.06562500134224783
113,71909728,0.0004327453519748679
114,57139556,3.128588854714366e-20
115,385530598,3.128588854714366e-20
116,250577256,3.128588854714366e-20
117,324788585,0.0014693146965615998
118,326254954,3.128588854714366e-20
119,53780843,0.0050462320462760155
120,409586782,0.0003285981821098047
121,95674733,0.004144339992617523
122,164634990,3.128588854714366e-20
123,497254771,3.7816519969865834e-06
124,4358516,0.0006464572063522436
125,227242046,0.0019326170055736507
126,1868150,0.000685371201439928
127,180855159,3.128588854714366e-20
128,50233720,0.00046404769996536213
129,206856575,0.000809282882001925
130,474956162,3.128588854714366e-20
131,186040709,3.128588854714366e-20
132,28664199,0.012438291748900114
133,433578377,3.327128393550688e-05
134,177255730,0.056739572078664965
135,410249099,0.013527651937716765
136,270733,0.08745570170938316
137,33145236,1.2814699948910044e-16
138,173867418,0.005774140103302001
139,315659752,0.0002163604867298324
140,74965408,0.012293225495570409
141,253562003,3.128588854714366e-20
142,22184361,0.0024781294783131416
143,2228656,0.05330797611800163
144,547901512,3.128588854714366e-20
145,158646713,3.128588854714366e-20
